IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc)
22,1,,,-121.9314830,47.5244923,2026-01-26 23:51:05.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
23,1,,,-121.9314830,47.5244923,2026-01-26 23:51:06.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
24,1,,,-121.9314830,47.5244923,2026-01-26 23:51:07.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
25,1,,,-121.9314830,47.5244923,2026-01-26 23:51:08.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
26,1,,,-121.9314830,47.5244923,2026-01-26 23:51:09.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
27,1,,,-121.9314830,47.5244923,2026-01-26 23:51:10.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
28,1,,,-121.9314830,47.5244923,2026-01-26 23:51:11.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
29,1,,,-121.9314830,47.5244923,2026-01-26 23:51:12.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
30,1,,,-121.9314830,47.5244923,2026-01-26 23:51:13.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
31,1,,,-121.9314830,47.5244923,2026-01-26 23:51:14.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
32,1,,,-121.9314830,47.5244923,2026-01-26 23:51:15.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
33,1,,,-121.9314830,47.5244923,2026-01-26 23:51:16.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
34,1,,,-121.9314830,47.5244923,2026-01-26 23:51:17.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
35,1,,,-121.9314830,47.5244923,2026-01-26 23:51:18.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
36,1,,,-121.9314830,47.5244923,2026-01-26 23:51:19.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
37,1,,,-121.9314830,47.5244923,2026-01-26 23:51:20.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
38,1,,,-121.9314830,47.5244923,2026-01-26 23:51:21.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
39,1,,,-121.9314830,47.5244923,2026-01-26 23:51:22.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
40,1,,,-121.9314830,47.5244923,2026-01-26 23:51:23.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
41,1,,,-121.9314830,47.5244923,2026-01-26 23:51:24.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
42,1,,,-121.9314830,47.5244923,2026-01-26 23:51:25.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
43,1,,,-121.9314830,47.5244923,2026-01-26 23:51:26.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
44,1,,,-121.9314830,47.5244923,2026-01-26 23:51:27.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
45,1,,,-121.9314830,47.5244923,2026-01-26 23:51:28.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
46,1,,,-121.9314830,47.5244923,2026-01-26 23:51:29.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
47,1,,,-121.9314830,47.5244923,2026-01-26 23:51:30.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
48,1,,,-121.9314830,47.5244923,2026-01-26 23:51:31.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
49,1,,,-121.9314830,47.5244923,2026-01-26 23:51:32.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
50,1,,,-121.9314830,47.5244923,2026-01-26 23:51:33.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
51,1,,,-121.9314830,47.5244923,2026-01-26 23:51:34.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
52,1,,,-121.9314830,47.5244923,2026-01-26 23:51:35.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
53,1,,,-121.9314830,47.5244923,2026-01-26 23:51:36.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
54,1,,,-121.9314830,47.5244923,2026-01-26 23:51:37.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
55,1,,,-121.9314830,47.5244923,2026-01-26 23:51:38.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
56,1,,,-121.9314830,47.5244923,2026-01-26 23:51:39.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
57,1,,,-121.9314830,47.5244923,2026-01-26 23:51:40.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
58,1,,,-121.9314830,47.5244923,2026-01-26 23:51:41.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
59,1,,,-121.9314830,47.5244923,2026-01-26 23:51:42.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
60,1,,,-121.9314830,47.5244923,2026-01-26 23:51:43.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
61,1,,,-121.9314830,47.5244923,2026-01-26 23:51:44.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
62,1,,,-121.9314830,47.5244923,2026-01-26 23:51:45.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
63,1,,,-121.9314830,47.5244923,2026-01-26 23:51:46.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
64,1,,,-121.9314830,47.5244923,2026-01-26 23:51:47.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
65,1,,,-121.9314830,47.5244923,2026-01-26 23:51:48.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
66,1,,,-121.9314830,47.5244923,2026-01-26 23:51:49.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
67,1,,,-121.9314830,47.5244923,2026-01-26 23:51:50.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
68,1,,,-121.9314830,47.5244923,2026-01-26 23:51:51.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
69,1,,,-121.9314830,47.5244923,2026-01-26 23:51:52.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
70,1,,,-121.9314830,47.5244923,2026-01-26 23:51:53.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
71,1,,,-121.9314830,47.5244923,2026-01-26 23:51:54.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
72,1,,,-121.9314830,47.5244923,2026-01-26 23:51:55.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
73,1,,,-121.9314830,47.5244923,2026-01-26 23:51:56.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
74,1,,,-121.9314830,47.5244923,2026-01-26 23:51:57.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
75,1,,,-121.9314830,47.5244923,2026-01-26 23:51:58.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
76,1,,,-121.9314830,47.5244923,2026-01-26 23:51:59.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
77,1,,,-121.9314830,47.5244923,2026-01-26 23:52:00.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
78,1,,,-121.9314830,47.5244923,2026-01-26 23:52:01.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,
79,1,,,-121.9314830,47.5244923,2026-01-26 23:52:02.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,NR (NR_SA)
80,1,,,-121.9314830,47.5244923,2026-01-26 23:52:03.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,NR (NR_SA)
81,1,,,-121.9314830,47.5244923,2026-01-26 23:52:04.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,NR (NR_SA)
82,1,,,-121.9314830,47.5244923,2026-01-26 23:52:05.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,NR (NR_SA)
83,1,,,-121.9314830,47.5244923,2026-01-26 23:52:06.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,NR (NR_SA)
84,1,,,-121.9314830,47.5244923,2026-01-26 23:52:07.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,NR (NR_SA)
85,1,,,-121.9314830,47.5244923,2026-01-26 23:52:08.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,NR (NR_SA)
86,1,,,-121.9314830,47.5244923,2026-01-26 23:52:09.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
87,1,,,-121.9314830,47.5244923,2026-01-26 23:52:10.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
88,1,,,-121.9314830,47.5244923,2026-01-26 23:52:11.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
89,1,,,-121.9314830,47.5244923,2026-01-26 23:52:12.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
90,1,,,-121.9314830,47.5244923,2026-01-26 23:52:13.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
91,1,,,-121.9314830,47.5244923,2026-01-26 23:52:14.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
92,1,,,-121.9314830,47.5244923,2026-01-26 23:52:15.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
93,1,,,-121.9314830,47.5244923,2026-01-26 23:52:16.000,_20260126_155046_CH02_TMO_5GNR_WFC_REF_TC-178-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
